sample_index,variant_index,pitch,setting,sampler,n_steps,guidance_scale,target_harmonic,off_target_harmonic,target_ratio,margin_ratio,sample_std,sample_absmax,finite,artifact_penalty,total_score,selected
20,1,68,heun_50_gs5,heun,50,5.0,1.5363461372359455,1.5612018153158118,3.186412846790853,-0.015920861529122497,1.0013093948364258,11.018820762634277,True,0.0,7.9421508246834485,True
21,2,69,heun_50_gs5,heun,50,5.0,1.2164449953550556,1.163438613636074,3.7315411553750866,0.04556010144593769,0.7244982719421387,7.687784671783447,True,0.0,9.397193040606622,True
22,1,70,rk4_50_gs65,rk4,50,6.5,1.9373469150437321,1.7722675064753362,3.5628361059308897,0.09314587500689732,1.1702616214752197,12.095792770385742,True,0.0,9.04680907733757,True
23,2,71,heun_50_gs5,heun,50,5.0,1.4950967915212066,1.3783862481776006,3.356770684227737,0.084671870929642,0.8260805606842041,8.749166488647461,True,0.0,8.518934516963807,True
24,1,72,heun_50_gs5,heun,50,5.0,1.2793142404491642,1.1708071651549279,2.842278283005456,0.09267715264887921,0.6772375106811523,6.353958606719971,True,0.0,7.244711436486958,True
25,2,73,heun_50_gs5,heun,50,5.0,1.1266319474178421,1.0390186314434375,3.7517319202375345,0.08432314154892294,0.6273372769355774,8.48715877532959,True,0.0,9.50581451291722,True
26,2,74,heun_50_gs5,heun,50,5.0,1.307629013713226,1.2975583416064618,3.675283219123938,0.0077612479579790145,0.7565159201622009,10.439255714416504,True,0.0,9.199849919746812,True
27,1,75,heun_50_gs5,heun,50,5.0,1.8863640222176252,1.4808340098330477,3.801749557625418,0.27385244190317687,0.8823421597480774,8.590264320373535,True,0.0,9.91515255691831,True
28,2,76,heun_50_gs5,heun,50,5.0,1.1331809708928804,1.114265887107754,3.573826652828299,0.016975377092867488,0.615850031375885,6.85919713973999,True,0.0,8.960029697710048,True
29,0,77,heun_50_gs5,heun,50,5.0,1.3723032086442228,1.3518011291049163,3.422187483104447,0.015166490799735362,0.7643160223960876,9.469583511352539,True,0.0,8.578218443960722,True
30,2,78,heun_50_gs5,heun,50,5.0,1.7098528738381507,1.3381114182439764,4.68388031782004,0.27781053785783455,0.8552617430686951,10.600202560424805,True,0.0,12.126416601336851,True
31,2,79,heun_50_gs5,heun,50,5.0,1.2243470743752198,1.2066424037466872,4.1130408301290595,0.014672673881534405,0.6326632499694824,7.453011512756348,True,0.0,10.30461108614495,True
32,2,80,rk4_32_gs6,rk4,32,6.0,1.041277577967563,0.9875349544603084,3.502016647352715,0.05442098299438451,0.6424883604049683,10.280243873596191,True,0.0,8.836673092873363,True
33,2,81,heun_50_gs5,heun,50,5.0,1.1529212599861982,0.9805372436754173,4.66146466530328,0.17580567761665525,0.5744685530662537,8.103734016418457,True,0.0,11.91737017968318,True
34,0,82,heun_50_gs5,heun,50,5.0,1.5830728280566573,1.235583873929841,4.79922234936748,0.2812346119484894,0.7380397915840149,8.477989196777344,True,0.0,12.419907791341434,True
35,1,83,heun_50_gs5,heun,50,5.0,1.506807068025888,1.2234114037445547,3.967265852117382,0.23164379627122367,0.7164631485939026,9.668303489685059,True,0.0,10.26563032470029,True
36,0,48,heun_50_gs5,heun,50,5.0,0.9156259756852997,0.9325968229114772,2.0849199054193672,-0.0181974103141613,0.6983193159103394,6.330737590789795,True,0.0,5.185003648077176,True
37,2,49,heun_50_gs5,heun,50,5.0,0.8989042211568327,0.9310505694012869,2.3024762233571225,-0.03452696228933773,0.7283763289451599,7.617183208465576,True,0.0,5.7044001149587995,True
