sample_index,variant_index,pitch,setting,sampler,n_steps,guidance_scale,target_harmonic,off_target_harmonic,target_ratio,margin_ratio,sample_std,sample_absmax,finite,artifact_penalty,total_score,selected
13,1,61,heun_64_gs6,heun,64,6.0,0.9174320158605572,0.924649510739677,2.45979543185347,-0.007805654701844391,0.7158467173576355,7.750640869140625,True,0.0,6.137780097580909,False
13,2,61,heun_64_gs6,heun,64,6.0,1.0827824538669821,1.0887337934913501,1.9787459183014091,-0.005466294520555212,0.8185299038887024,6.893134593963623,True,0.0,4.938665353972691,False
14,0,62,heun_64_gs6,heun,64,6.0,1.2711847113529817,1.262300224570923,2.284960339044828,0.007038330928520157,0.9096600413322449,11.06093692779541,True,0.0,5.722958344004851,False
14,1,62,heun_64_gs6,heun,64,6.0,1.2755634578962873,1.2984966735902077,2.531755270722336,-0.017661358695589754,0.9715885519981384,15.866108894348145,True,0.0,6.302896138762455,False
14,2,62,heun_64_gs6,heun,64,6.0,1.2852587512537659,1.2737623314022102,2.5734557883096807,0.009025561109696462,0.9121760725975037,9.281930923461914,True,0.0,6.4471778124387455,False
15,0,63,heun_64_gs6,heun,64,6.0,1.626236540987043,1.378945472007088,2.7811253447403446,0.1793334632925567,0.9787842631340027,8.708126068115234,True,0.0,7.221813556789696,False
15,1,63,heun_64_gs6,heun,64,6.0,1.7143847069503935,1.50557378220613,2.7450202407903146,0.1386919231891591,1.0674817562103271,11.812602996826172,True,0.0,7.070588486759525,False
15,2,63,heun_64_gs6,heun,64,6.0,1.7246242273409447,1.4875396606333136,2.5801959980705487,0.15938033209339109,1.01532781124115,8.308466911315918,True,0.0,6.689560493316458,False
16,0,64,heun_64_gs6,heun,64,6.0,1.1953869868247766,1.177928117876155,2.7353336428884822,0.014821675903181498,0.8303081393241882,10.402629852294922,True,0.0,6.860566621075978,False
16,1,64,heun_64_gs6,heun,64,6.0,1.1502864280006138,1.1888701483847353,2.4885405628811594,-0.032454107887225865,0.8119847774505615,9.120820999145508,True,0.0,6.17267024537206,False
16,2,64,heun_64_gs6,heun,64,6.0,1.145292411798565,1.0970084279696901,2.857133168137685,0.044014231939945164,0.7937117218971252,9.039814949035645,True,0.0,7.20885426825413,False
17,0,65,heun_64_gs6,heun,64,6.0,1.2313920919780115,1.125649773850982,3.06335047894383,0.09393891390026507,0.8109675049781799,9.6492338180542,True,0.0,7.799284568209973,False
17,1,65,heun_64_gs6,heun,64,6.0,1.362349710848482,1.2601163605727945,2.820402525734635,0.0811300866039989,0.8793553709983826,8.62073802947998,True,0.0,7.172701444242587,False
17,2,65,heun_64_gs6,heun,64,6.0,1.3910310164238666,1.3306107459508243,2.816182380800053,0.045407922792467866,0.9290759563446045,10.020628929138184,True,0.0,7.108567836188834,False
18,0,66,heun_64_gs6,heun,64,6.0,1.2913864314771941,1.3068729731946052,2.3331230978033104,-0.011850074120864243,0.8730558156967163,8.361566543579102,True,0.0,5.81503263332698,False
18,1,66,heun_64_gs6,heun,64,6.0,1.4471666752317593,1.4645553699315574,2.062301451227528,-0.011873019578549984,0.8946049809455872,7.552539348602295,True,0.0,5.137944098700995,False
18,2,66,heun_64_gs6,heun,64,6.0,1.5682864577081508,1.4259390466970479,2.5465518253765738,0.09982713520788693,0.9469603300094604,9.39829158782959,True,0.0,6.516120266253265,False
19,0,67,heun_64_gs6,heun,64,6.0,1.001197858432997,1.1297938299413837,1.8211422062733262,-0.11382251076449355,0.7893888354301453,8.499505996704102,True,0.0,4.382121749536576,False
19,1,67,heun_64_gs6,heun,64,6.0,1.2565537313947548,1.1985806775109438,2.5918718323323438,0.04836808609372967,0.7873907685279846,7.787807941436768,True,0.0,6.552231709971454,False
19,2,67,heun_64_gs6,heun,64,6.0,0.9984402615312213,0.96095860942749,1.841745731821884,0.03900443926093484,0.7440938353538513,7.053138732910156,True,0.0,4.662870988446112,False
20,0,68,heun_64_gs6,heun,64,6.0,1.5233128044547026,1.5332569710223594,3.0958494172094144,-0.006485648975180969,1.0205597877502441,11.334485054016113,True,0.0,7.729895069560765,False
20,1,68,heun_64_gs6,heun,64,6.0,1.6218030779294805,1.6654961627661022,3.095857517977859,-0.026234275137393456,1.0595136880874634,11.74384593963623,True,0.0,7.7002923822385565,False
20,2,68,heun_64_gs6,heun,64,6.0,1.258684860736707,1.2595817691987305,2.619310055466378,-0.0007120684633864538,1.0083377361297607,11.089155197143555,True,0.0,6.547207035970866,False
21,0,69,heun_64_gs6,heun,64,6.0,1.1337274129043164,1.1077732576221553,2.765624600274718,0.023429122222701743,0.6667186617851257,6.804511070251465,True,0.0,6.9492051840208475,False
21,1,69,heun_64_gs6,heun,64,6.0,1.1787451741818078,1.1450536120782466,2.890511113036012,0.029423567118552704,0.7275768518447876,8.36141586303711,True,0.0,7.270413133267859,False
21,2,69,heun_64_gs6,heun,64,6.0,1.321793982554329,1.2465107221896095,3.5783196828232984,0.06039519630326621,0.7675370573997498,8.021038055419922,True,0.0,9.036392001513144,False
22,0,70,heun_64_gs6,heun,64,6.0,1.4618254460124975,1.4069373520155646,3.5714704307136844,0.03901246457646189,0.9970265030860901,14.027009963989258,True,0.0,8.987194773648904,False
22,1,70,heun_64_gs6,heun,64,6.0,1.8579936861096567,1.7143964241232814,3.4939136996309212,0.08375965974276474,1.1220993995666504,11.524919509887695,True,0.0,8.860423738691452,False
22,2,70,heun_64_gs6,heun,64,6.0,1.6001159235213067,1.5245058815675938,3.4817020912947707,0.04959642489539077,1.0531373023986816,11.466644287109375,True,0.0,8.778649865580013,False
23,0,71,heun_64_gs6,heun,64,6.0,1.4250579393342668,1.4357411638484987,2.8478439582786743,-0.007440912546650403,0.9054075479507446,10.79081916809082,True,0.0,7.1084485268767095,False
23,1,71,heun_64_gs6,heun,64,6.0,1.7052288326963907,1.669355103094092,2.740977329921492,0.021489573620922336,0.9394294619560242,9.868800163269043,True,0.0,6.884677685235113,False
23,2,71,heun_64_gs6,heun,64,6.0,1.7222793461749881,1.4872072177975526,3.2694725114844423,0.1580627931223549,0.887525737285614,8.837437629699707,True,0.0,8.410775468394638,False
24,0,72,heun_64_gs6,heun,64,6.0,1.2317035011544817,1.1749628602720739,2.626916583923245,0.04829143313206909,0.6612622737884521,6.913996696472168,True,0.0,6.639728609506216,False
24,1,72,heun_64_gs6,heun,64,6.0,1.32310973331241,1.2125628976970073,2.640629730503082,0.09116791789826537,0.6944048404693604,6.148990631103516,True,0.0,6.738326203105103,False
24,2,72,heun_64_gs6,heun,64,6.0,1.2140027779072509,1.0972589019611054,2.5806285603501644,0.10639592412832795,0.6534585952758789,5.731593608856201,True,0.0,6.6111652870679025,False
