kind,name,note_count,length_beats,length_seconds,notes_per_beat,unique_pitch_count,unique_pitch_class_count,active_instrument_count,instrument_entropy,average_polyphony,max_polyphony,mean_duration_steps,pitch_class_entropy,scale_consistency_percent,groove_consistency_percent,sequence_len,raw_note_events,unique_note_events,duplicate_note_rate,note_instrument_violation_rate,best_scale,instrument_counts
reference,test_00196,85,30.041667,15.020833,2.829404,13,6,2,0.092277,1.662968,5,14.105882,2.533974,100.000000,99.553571,,,,,,2:minor,"{""bass"": 0, ""brass"": 0, ""guitar"": 0, ""piano"": 84, ""strings"": 1}"
reference,test_00197,296,32.000000,16.000000,9.250000,23,7,4,1.800392,6.437500,9,16.702703,2.391164,100.000000,97.619048,,,,,,0:major,"{""bass"": 112, ""brass"": 36, ""guitar"": 0, ""piano"": 112, ""strings"": 36}"
reference,test_00198,120,31.500000,15.750000,3.809524,10,6,2,0.721928,2.730159,5,17.200000,2.487240,100.000000,98.958333,,,,,,6:minor,"{""bass"": 24, ""brass"": 0, ""guitar"": 96, ""piano"": 0, ""strings"": 0}"
reference,test_00199,188,31.750000,15.875000,5.921260,11,5,3,0.505027,3.670604,13,14.877660,1.791778,100.000000,96.428571,,,,,,0:major,"{""bass"": 8, ""brass"": 0, ""guitar"": 172, ""piano"": 0, ""strings"": 8}"
reference,test_00200,15,32.000000,16.000000,0.468750,10,8,1,-0.000000,1.750000,4,89.600000,2.739572,93.333333,98.660714,,,,,,4:minor,"{""bass"": 0, ""brass"": 0, ""guitar"": 0, ""piano"": 0, ""strings"": 15}"
reference,test_00201,226,31.458333,15.729167,7.184106,17,6,4,1.767936,2.842384,7,9.495575,2.527911,100.000000,95.833333,,,,,,1:minor,"{""bass"": 33, ""brass"": 24, ""guitar"": 108, ""piano"": 61, ""strings"": 0}"
reference,test_00202,103,32.000000,16.000000,3.218750,28,12,3,1.089749,4.002604,14,29.844660,2.866358,93.203883,96.726190,,,,,,0:minor,"{""bass"": 12, ""brass"": 0, ""guitar"": 15, ""piano"": 76, ""strings"": 0}"
reference,test_00203,76,32.000000,16.000000,2.375000,11,5,1,-0.000000,1.625000,2,16.421053,2.027693,100.000000,97.619048,,,,,,1:minor,"{""bass"": 0, ""brass"": 0, ""guitar"": 76, ""piano"": 0, ""strings"": 0}"
reference,test_00204,100,35.958333,17.979167,2.780997,18,8,2,0.609840,5.256083,9,45.360000,2.750457,95.000000,97.916667,,,,,,0:major,"{""bass"": 0, ""brass"": 0, ""guitar"": 85, ""piano"": 0, ""strings"": 15}"
reference,test_00205,68,33.000000,16.500000,2.060606,8,5,2,0.430552,1.909091,3,22.235294,1.830997,100.000000,99.348958,,,,,,0:major,"{""bass"": 0, ""brass"": 0, ""guitar"": 62, ""piano"": 0, ""strings"": 6}"
reference,test_00206,248,32.916667,16.458333,7.534177,31,11,3,1.246411,4.577215,12,14.580645,2.753357,89.112903,91.145833,,,,,,4:minor,"{""bass"": 16, ""brass"": 0, ""guitar"": 142, ""piano"": 90, ""strings"": 0}"
reference,test_00207,42,33.000000,16.500000,1.272727,3,3,1,-0.000000,1.696970,2,32.000000,1.460721,100.000000,98.437500,,,,,,0:major,"{""bass"": 42, ""brass"": 0, ""guitar"": 0, ""piano"": 0, ""strings"": 0}"
reference,test_00208,55,32.083333,16.041667,1.714286,10,7,2,0.994030,1.070130,4,14.981818,2.485665,96.363636,96.875000,,,,,,2:major,"{""bass"": 30, ""brass"": 0, ""guitar"": 25, ""piano"": 0, ""strings"": 0}"
reference,test_00209,124,32.000000,16.000000,3.875000,24,7,4,1.669595,5.542969,9,34.330645,2.560074,100.000000,97.023810,,,,,,1:minor,"{""bass"": 16, ""brass"": 8, ""guitar"": 60, ""piano"": 40, ""strings"": 0}"
reference,test_00210,75,32.000000,16.000000,2.343750,18,8,3,1.351902,4.873698,8,49.906667,2.437653,98.666667,98.214286,,,,,,2:major,"{""bass"": 7, ""brass"": 0, ""guitar"": 36, ""piano"": 32, ""strings"": 0}"
reference,test_00211,122,36.000000,18.000000,3.388889,22,8,3,1.438842,2.741898,10,19.418033,2.877929,89.344262,96.875000,,,,,,0:major,"{""bass"": 22, ""brass"": 0, ""guitar"": 66, ""piano"": 0, ""strings"": 34}"
reference,test_00212,88,32.458333,16.229167,2.711168,23,10,4,1.642679,3.057766,18,27.068182,2.796539,94.318182,94.010417,,,,,,2:minor,"{""bass"": 5, ""brass"": 11, ""guitar"": 29, ""piano"": 43, ""strings"": 0}"
